sno,total,available_rent_bikes,available_return_bikes,infoTime,source_file
500119093,36,20,15,2024-12-05 09:02:16,2024-12-05.csv
500119093,36,12,23,2024-12-05 10:09:14,2024-12-05.csv
500119093,36,2,34,2024-12-05 20:29:15,2024-12-05.csv
500119093,36,11,24,2024-12-05 08:16:15,2024-12-05.csv
500119093,36,13,23,2024-12-05 16:44:15,2024-12-05.csv
500119093,36,6,30,2024-12-05 16:58:16,2024-12-05.csv
500119093,36,16,20,2024-12-05 00:20:15,2024-12-05.csv
500119093,36,18,17,2024-12-05 09:14:15,2024-12-05.csv
500119093,36,8,28,2024-12-05 20:05:16,2024-12-05.csv
500119093,36,4,32,2024-12-05 20:22:15,2024-12-05.csv
500119093,36,17,19,2024-12-05 14:52:15,2024-12-05.csv
500119093,36,17,18,2024-12-05 09:19:16,2024-12-05.csv
500119093,36,1,35,2024-12-05 18:58:15,2024-12-05.csv
500119093,36,13,23,2024-12-05 16:27:16,2024-12-05.csv
500119093,36,1,35,2024-12-05 22:09:15,2024-12-05.csv
500119093,36,12,23,2024-12-05 08:08:16,2024-12-05.csv
500119093,36,3,33,2024-12-05 23:09:15,2024-12-05.csv
500119093,36,13,22,2024-12-05 02:21:14,2024-12-05.csv
500119093,36,31,5,2024-12-05 23:34:15,2024-12-05.csv
500119093,36,12,23,2024-12-05 08:58:14,2024-12-05.csv
500119093,36,14,22,2024-12-05 23:15:15,2024-12-05.csv
500119093,36,0,36,2024-12-05 19:02:15,2024-12-05.csv
500119093,36,16,20,2024-12-05 16:18:15,2024-12-05.csv
500119093,36,14,22,2024-12-05 16:08:16,2024-12-05.csv
500119093,36,30,6,2024-12-05 23:58:15,2024-12-05.csv
500119093,36,14,21,2024-12-05 09:44:15,2024-12-05.csv
500119093,36,13,23,2024-12-05 19:47:15,2024-12-05.csv
500119093,36,0,36,2024-12-05 17:33:17,2024-12-05.csv
500119093,36,18,18,2024-12-05 15:18:15,2024-12-05.csv
500119093,36,15,21,2024-12-05 15:47:16,2024-12-05.csv
